timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672123068969,3789,Get user,200,OK,Thread Group 1-16,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48974,3789,0,0
1672123072140,618,Authorisation User,200,OK,Thread Group 1-19,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,618,0,0
1672123068965,4403,New user,201,Created,Thread Group 1-10,text,true,,1141,1269,20,20,http://test-api.d6.dev.devcaz.com/v2/players,4403,0,0
1672123072759,761,Authorisation User,200,OK,Thread Group 1-16,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,761,0,0
1672123069582,3938,Get user,200,OK,Thread Group 1-13,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48977,3938,0,0
1672123069784,3889,Get user,200,OK,Thread Group 1-2,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48978,3889,0,0
1672123070351,3693,Get user,200,OK,Thread Group 1-20,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48980,3693,0,0
1672123070190,3854,Get an other user,404,Not Found,Thread Group 1-9,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,3854,0,0
1672123073369,675,Authorisation User,200,OK,Thread Group 1-10,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,675,0,0
1672123068413,5634,Get an other user,404,Not Found,Thread Group 1-15,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,5634,0,0
1672123073521,581,Authorisation User,200,OK,Thread Group 1-13,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,581,0,0
1672123073674,539,Authorisation User,200,OK,Thread Group 1-2,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,538,0,0
1672123070940,3397,Get user,200,OK,Thread Group 1-14,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48969,3397,0,0
1672123070816,3523,Get an other user,404,Not Found,Thread Group 1-8,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,3523,0,0
1672123069417,5114,Get an other user,404,Not Found,Thread Group 1-7,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,5114,0,0
1672123070661,3941,Get user,200,OK,Thread Group 1-5,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48981,3941,0,0
1672123074407,240,Get Token,200,OK,Thread Group 1-9,text,true,,1076,578,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,240,0,0
1672123074045,635,Authorisation User,200,OK,Thread Group 1-20,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,635,0,0
1672123074328,639,Authorisation User,200,OK,Thread Group 1-15,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,639,0,0
1672123071240,3727,Get user,200,OK,Thread Group 1-17,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48970,3727,0,0
1672123074338,633,Authorisation User,200,OK,Thread Group 1-14,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,633,0,0
1672123074485,617,Authorisation User,200,OK,Thread Group 1-8,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,617,0,0
1672123074603,532,Authorisation User,200,OK,Thread Group 1-5,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,532,0,0
1672123074603,534,Authorisation User,200,OK,Thread Group 1-7,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,534,0,0
1672123071252,3921,Get user,200,OK,Thread Group 1-4,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48980,3921,0,0
1672123074681,598,Authorisation User,200,OK,Thread Group 1-20,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,598,0,0
1672123074968,545,Authorisation User,200,OK,Thread Group 1-17,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,545,0,0
1672123071567,4017,New user,201,Created,Thread Group 1-1,text,true,,1138,1266,20,20,http://test-api.d6.dev.devcaz.com/v2/players,4017,0,0
1672123072350,3249,Get user,200,OK,Thread Group 1-11,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48974,3249,0,0
1672123075585,593,Authorisation User,200,OK,Thread Group 1-1,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,593,0,0
1672123075599,581,Authorisation User,200,OK,Thread Group 1-11,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,581,0,0
1672123072350,4052,Get user,200,OK,Thread Group 1-6,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48973,4052,0,0
1672123072520,4124,Get user,200,OK,Thread Group 1-18,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48976,4124,0,0
1672123072518,4129,Get an other user,404,Not Found,Thread Group 1-3,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,4129,0,0
1672123072759,4132,Get user,200,OK,Thread Group 1-19,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48977,4132,0,0
1672123076403,651,Authorisation User,200,OK,Thread Group 1-6,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,651,0,0
1672123076645,409,Get Token,200,OK,Thread Group 1-18,text,true,,1076,578,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,409,0,0
1672123076648,711,Authorisation User,200,OK,Thread Group 1-3,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,711,0,0
1672123074188,3420,Get user,200,OK,Thread Group 1-10,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48976,3420,0,0
1672123076892,717,Authorisation User,200,OK,Thread Group 1-19,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,717,0,0
